Date,Close,fear_greed,Target
2014-01-02,0.029526366778241497,0.7319587628865979,0.0293264482739376
2014-01-03,0.0293264482739376,0.6804123711340206,0.02781883790818107
2014-01-06,0.02781883790818107,0.6597938144329897,0.03146005920740336
2014-01-07,0.03146005920740336,0.6907216494845361,0.03133223458838175
2014-01-08,0.03133223458838175,0.6597938144329897,0.031541994988234734
2014-01-09,0.031541994988234734,0.7010309278350515,0.03293162263051863
2014-01-10,0.03293162263051863,0.6804123711340206,0.025337800060291626
2014-01-13,0.025337800060291626,0.6288659793814433,0.031787802330728865
2014-01-14,0.031787802330728865,0.7010309278350515,0.034901362002321634
2014-01-15,0.034901362002321634,0.6701030927835051,0.034085284825857376
2014-01-16,0.034085284825857376,0.6494845360824743,0.03172879096513992
2014-01-17,0.03172879096513992,0.6082474226804123,0.03340031290026457
2014-01-21,0.03340031290026457,0.6391752577319587,0.03374769980698289
2014-01-22,0.03374769980698289,0.4639175257731959,0.02837270458290264
2014-01-23,0.02837270458290264,0.4742268041237113,0.015862775170497834
2014-01-24,0.015862775170497834,0.27835051546391754,0.013001584105098662
2014-01-27,0.013001584105098662,0.25773195876288657,0.016587074670581514
2014-01-28,0.016587074670581514,0.29896907216494845,0.010589359510641772
2014-01-29,0.010589359510641772,0.20618556701030927,0.017140941345303085
2014-01-30,0.017140941345303085,0.18556701030927836,0.013339129116267778
2014-01-31,0.013339129116267778,0.20618556701030927,0.0
2014-02-03,0.0,0.13402061855670103,0.004362240167456233
2014-02-04,0.004362240167456233,0.15463917525773196,0.0031954954524241463
2014-02-05,0.0031954954524241463,0.20618556701030927,0.010337030912153655
2014-02-06,0.010337030912153655,0.17525773195876287,0.01806847998924599
2014-02-07,0.01806847998924599,0.2268041237113402,0.018992697993633567
2014-02-10,0.018992697993633567,0.28865979381443296,0.025518074781202826
2014-02-11,0.025518074781202826,0.29896907216494845,0.025357483851389806
2014-02-12,0.025357483851389806,0.32989690721649484,0.028821711061550515
2014-02-13,0.028821711061550515,0.32989690721649484,0.03170586654989749
2014-02-14,0.03170586654989749,0.30927835051546393,0.032403961002889115
2014-02-18,0.032403961002889115,0.4329896907216495,0.028467762891132842
2014-02-19,0.028467762891132842,0.4020618556701031,0.03208277914326296
2014-02-20,0.03208277914326296,0.4639175257731959,0.030925836316074484
2014-02-21,0.030925836316074484,0.4948453608247423,0.03464899339612815
2014-02-24,0.03464899339612815,0.5670103092783505,0.03383291621966389
2014-02-25,0.03383291621966389,0.5876288659793815,0.03384603874706271
